,label,dp,unit,mfr,mifr,med_isi,mode_isi,prct5ISI,entropy,CV2_mean,CV2_median,CV,IR,Lv,LvR,LcV,SI,SKW,relevant_channel,trough_voltage,trough_t,peak_voltage,peak_t,repolarisation_t,depolarisation_t,peak_50_width,trough_50_width,onset_t,onset_amp,wvf_width,peak_trough_ratio,recovery_slope,repolarisation_slope,depolarisation_slope,spatial_decay_24um,dendritic_comp_amp
0,PkC_ss,/media/npyx/4TB_ssd/optag_recordings/PkC/18-08-30_YC001/18-08-30_YC001_probe1,431,150.7322930606118,168.88792654984326,0.005733333333333333,0.005,0.0042,6.195362014288122,0.2710327659527819,0.17449664429530198,0.4304108067088572,0.2812211603653367,0.10894382127798402,20.69767223868028,-0.06588642082019192,0.00862764757578224,2.4525975461934175,276,-318.6037407381996,4150,307.6406635908342,4858,249,369,783,354,3696,-15.93018703690998,708,0.9655902434730863,-0.11027087067200698,0.42220491045405034,-0.2794949223837487,224.47265625,1.0344596424977772
1,PkC_ss,/media/npyx/4TB_ssd/optag_recordings/PkC/18-08-30_YC001/18-08-30_YC001_probe1,437,169.61920977039634,181.01532929247563,0.0054,0.005,0.0042,6.239865362324568,0.2007376757221135,0.1404682274247492,0.3118672105504777,0.2047712855667052,0.058696226086310255,13.163842010778371,-0.04901104761560978,0.004486850981662742,2.5197711027894343,279,-307.1401404706365,4150,275.4858157244786,4858,243,317,779,354,11,-15.357007023531825,708,0.8969384962263369,-0.10131296711900172,0.3906286146870228,-0.25996358099996564,250.25390625,0.8255696380510299
2,PkC_ss,/media/npyx/4TB_ssd/optag_recordings/PkC/18-08-30_YC001/18-08-30_YC001_probe1,487,67.87349387328912,77.59855206474408,0.013433333333333334,0.01,0.0077666666666666665,7.095213575195707,0.3607920538562664,0.308903474857895,0.38869939531184755,0.373601582978814,0.14987306479146592,15.993905611645378,-0.08560624133960866,0.01169594584441509,1.0806710988698338,325,-164.50951049670687,4150,159.65478354829858,4758,219,440,788,374,3581,-8.225475524835344,608,0.9704896882025221,-0.10723948841416756,0.44676670127981494,-0.18987432516372532,230.33203125,0.9000924538089137
3,PkC_ss,/media/npyx/4TB_ssd/optag_recordings/PkC/18-08-30_YC001/18-08-30_YC001_probe1,492,62.17747869349329,70.18585877928518,0.015133333333333334,0.012,0.008433333333333333,7.201188983505612,0.33633318270156876,0.2897669706180345,0.3527021954907575,0.3466067422615034,0.13028871313175142,13.14479774220717,-0.08324979065713076,0.010068534099927312,0.7922088316561678,325,-391.02619460071355,3543,467.397648531833,4150,230,280,758,439,3141,-19.55130973003568,607,1.1953103269951115,-0.09835800806811879,0.3403476097159975,-0.11196339768303862,216.50390625,0.7304399094806088
4,PkC_ss,/media/npyx/4TB_ssd/optag_recordings/PkC/18-08-30_YC001/18-08-30_YC001_probe1,494,70.14020637160182,74.99110005945612,0.0139,0.012,0.008766666666666667,7.322565269901225,0.2500305391601415,0.21411192214111918,0.2561318136536284,0.2541545182383667,0.07252049945202256,8.310696738849863,-0.0604477082024456,0.0054409539549919285,0.44261713712645473,329,-320.12376938117427,4150,277.21661464050493,4859,263,235,760,348,22,-16.006188469058714,709,0.8659669826342092,-0.09601367307107632,0.3646379967773582,-0.3183725332426841,597.48046875,0.777856134547755
5,PkC_ss,/media/npyx/4TB_ssd/optag_recordings/PkC/18-08-30_YC001/18-08-30_YC001_probe1,512,49.72042466086199,54.81063932580726,0.0191,0.017,0.011433333333333334,7.125057172639807,0.30744196097407855,0.2642089093701997,0.3215591984197544,0.31520678369496546,0.10906592334452894,8.789082311521284,-0.07905871492075384,0.008336070250411883,0.8709066156242861,339,-179.87168547612515,3441,199.44605001372116,4150,272,381,883,438,2954,-8.993584273806258,709,1.108824045795658,-0.10794910690897434,0.4132541740253012,-0.14295906481035356,285.05859375,0.7720746646368524
6,PkC_ss,/media/npyx/4TB_ssd/optag_recordings/PkC/18-08-30_YC001/18-08-30_YC001_probe1,668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,323,-153.17808383644353,3442,157.83966365944013,4150,264,433,833,421,2902,-7.658904191822177,708,1.030432420266949,-0.1013374549689437,0.350637214953108,-0.20375912029383178,238.30078125,0.6336726589417461
7,GoC,/media/npyx/4TB_ssd/optag_recordings/GoC/20-03-06_DK186/20-03-06_DK186_probe1,430,6.519061423505828,14.531369272221223,0.11103333333333333,0.028,0.021018333333333333,6.8685070168414395,0.8371917149636144,0.8104924212675725,0.8597228032460481,1.0096514769497875,0.7214417059338869,10.600922226295726,-0.4067297449135394,0.07450704871739051,1.4136154877315534,227,-62.768506448957176,4252,16.866638652579585,4758,143,130,1281,259,181,-3.138425322447859,506,0.2687118048012723,-0.02175151121913582,0.3582793444432767,-0.61676526467454,20.859375,21.29773158882127
8,GoC,/media/npyx/4TB_ssd/optag_recordings/GoC/20-03-06_DK186/20-03-06_DK186_probe1,495,11.378731084577288,32.03044636287014,0.05776666666666667,0.009000000000000001,0.0089,6.6175145833156295,0.8888936607760883,0.8753139308711779,0.9885845773482085,1.1024617833533819,0.8053496706713499,22.888300317654938,-0.36030680966214534,0.0872330749143474,1.628574623261005,245,-35.907613542810104,4453,9.373970911086719,5567,306,100,1042,389,696,-1.7953806771405052,1114,0.2610580316040997,-0.009653124374760748,0.1754517819268129,-0.2913644104135355,69.4921875,20.758504893960183
9,GoC,/media/npyx/4TB_ssd/optag_recordings/GoC/20-03-06_DK186/20-03-06_DK186_probe1,590,9.145025897050607,44.64213914594909,0.06476666666666667,0.004,0.005065000000000001,6.486943954954024,0.9427730770787169,0.9225556631171344,1.086640185211065,1.2463431566142567,0.918867842031148,24.86301818805522,-0.4584690427816039,0.11157157082005055,1.513634409367517,281,-10.884158891328205,4251,25.187208424807906,4657,203,138,431,204,2422,-0.5442079445664103,406,2.3141162010116783,-0.24158962114393506,0.37348010367873735,-0.22851703701459222,24.0234375,12.905908012910034
10,GoC,/media/npyx/4TB_ssd/optag_recordings/GoC/20-03-06_DK186/20-03-06_DK186_probe1,617,4.6736874332673075,6.894719073698347,0.16758333333333333,0.08,0.06787833333333333,6.727059781928399,0.621706840810613,0.5748735900427849,0.6950776389336238,0.6842248983043369,0.4124682087654289,3.625892222297743,-0.3609141371218487,0.036109957078580855,1.6068179653317554,284,-67.77804696075737,4150,65.74096545691548,4960,284,251,868,404,3812,-3.3889023480378686,810,0.9699448184893652,-0.09991566604268771,0.3074288734239282,-0.2632088195677581,108.69140625,1.5520938681983256
11,GoC,/media/npyx/4TB_ssd/optag_recordings/GoC/20-03-06_DK186/20-03-06_DK186_probe1,423,16.95912651284249,25.0959684222156,0.04738333333333333,0.03,0.01748166666666667,6.924779239657625,0.6359317589087052,0.5874558303886926,0.6638120975794874,0.7046212327809275,0.4325857427663532,12.780647039071251,-0.2087425559507634,0.038395778337417835,1.3758513812175286,225,-43.80259073133912,4150,21.79648909165752,4960,236,164,1147,281,53,-2.1901295365669564,810,0.49760730421963245,-0.029673338464437395,0.3298894266316433,-0.4995849257108245,30.8203125,17.852181958271085
12,GoC,/media/npyx/4TB_ssd/optag_recordings/GoC/20-03-06_DK186/20-03-06_DK186_probe1,427,65.62337327606156,71.47141543142577,0.014366666666666666,0.012,0.009233333333333333,7.176177864975124,0.32857783271379537,0.2867194371152155,0.30518584797978654,0.33756422064771274,0.12231632633484765,12.561345212222637,-0.06923283297094227,0.00937065782137353,0.8940792219868535,226,-286.25465233946227,3442,302.61066993688246,4150,291,322,806,392,3038,-14.312732616973115,708,1.0571379974569775,-0.11134349856935645,0.3775289085355809,-0.20171501587366358,420.3515625,0.709903681132133
13,GoC,/media/npyx/4TB_ssd/optag_recordings/GoC/20-03-06_DK186/20-03-06_DK186_probe1,473,38.985836366404556,54.57777195222422,0.021166666666666667,0.012,0.008433333333333333,6.968892539118904,0.5899870363744043,0.5390843317800423,0.6165774781973123,0.6443467128986649,0.3762673628542038,24.815657722208606,-0.15263425583311124,0.032512546811681316,1.3204931216031355,239,-108.37894912870468,4150,68.63746483946213,4758,197,313,1190,388,52,-5.418947456435234,608,0.6333099314143762,-0.02356689484749132,0.3360032653208807,-0.2227845840103387,117.3046875,10.938415619972206
14,GoC,/media/npyx/4TB_ssd/optag_recordings/GoC/20-03-06_DK186/20-03-06_DK186_probe1,496,44.68307683523421,57.3073476924858,0.0196,0.014,0.008566666666666667,7.099757135168805,0.5212083293898515,0.4686595949855352,0.5152404343379223,0.5583233169599229,0.2980637285931842,22.33816789217321,-0.12773949870930962,0.024831489932282822,1.1314287110987788,243,-59.374506894895724,3847,33.101030804061466,4859,341,236,1313,404,3512,-2.9687253447447866,1012,0.5574956750825172,-0.03346522669666651,0.30038068822004077,-0.23338431775950033,92.51953125,26.513730580396064
15,GoC,/media/npyx/4TB_ssd/optag_recordings/GoC/20-03-06_DK186/20-03-06_DK186_probe1,499,24.546015124050786,49.08562233880942,0.030866666666666667,0.005,0.006533333333333334,6.921764251034432,0.7715785015105892,0.7314644953483429,0.8035977333594095,0.9019582964329849,0.6202307467140132,31.40429631385171,-0.24091333906225393,0.060711455753294105,1.3053710079147953,248,-94.09352274286499,4352,24.667454205543358,5061,171,71,922,301,4168,-4.70467613714325,709,0.2621588977272494,-0.020740284142941122,0.3094042787703085,-0.3899329251598851,100.1953125,31.69072203633076
16,GoC,/media/npyx/4TB_ssd/optag_recordings/GoC/20-03-06_DK186/20-03-06_DK186_probe1,578,6.88480357153615,22.38643703374278,0.09453333333333333,0.013000000000000001,0.011533333333333333,6.653677040602524,0.9245612759400303,0.9102521008403361,0.9861826909594866,1.184044676287982,0.8725241669575197,16.08634591788494,-0.45786079946182606,0.10011204234169174,1.4387575067293599,273,-51.435536155323796,4150,35.0954051180022,4758,220,308,841,359,227,-2.5717768077661898,608,0.6823182519575948,-0.05883909342403874,0.33420904917673727,-0.2586766373314622,43.359375,13.076823094675554
17,GoC,/media/npyx/4TB_ssd/optag_recordings/GoC/20-03-06_DK186/20-03-06_DK186_probe1,605,16.75878033802655,40.060807594761734,0.04073333333333334,0.006,0.007205000000000001,6.669295245776428,0.8467184119009941,0.8284098051539911,0.9345542572139822,1.0237929393999945,0.7322133704290612,27.855919566846712,-0.2961789910156777,0.07604611470246214,1.5984603839604423,281,-54.01186024972558,3441,68.54947773737649,4150,254,501,777,471,2708,-2.700593012486279,709,1.269156022777882,-0.1035231129178128,0.2689578036760143,-0.09036706358202613,76.69921875,1.3197506893982334
18,GoC,/media/npyx/4TB_ssd/optag_recordings/GoC/20-03-06_DK186/20-03-06_DK186_probe1,615,41.796056166192685,81.54372587120478,0.013933333333333334,0.006,0.0062,5.449642152133031,0.6500791993008973,0.6158113730929266,1.2027255082279473,0.7349559448168528,0.46940641275368833,36.7687739543228,-0.19747373663467468,0.043538367859327715,3.0474686754769897,285,-121.74887229006592,3543,138.85310184549942,4150,238,460,724,350,2931,-6.087443614503297,607,1.1404877863236613,-0.1112694400308364,0.39905893359666017,-0.18640175605237055,166.9921875,1.4501452220268294
19,GoC,/media/npyx/4TB_ssd/optag_recordings/GoC/20-03-06_DK186/20-03-06_DK186_probe1,622,5.307373313763911,8.108812531350406,0.1489,0.095,0.054233333333333335,6.779494153584586,0.6261642928855815,0.567982837881788,0.7035256499676249,0.6934700524370743,0.4241302825819371,4.298482230421889,-0.34923541392441754,0.037642868196924265,1.5073569986839719,290,-58.11458047475301,3036,68.84431171103182,4150,534,222,813,394,2651,-2.905729023737651,1114,1.1846306236511537,-0.1392375000782779,0.21079947248041192,-0.14104706943092404,99.43359375,3.5087800356208505
20,PkC_ss,/media/npyx/4TB_ssd/optag_recordings/GoC/20-03-06_DK186/20-03-06_DK186_probe1,357,103.58561252395576,117.78212045091932,0.008366666666666666,0.006,0.005633333333333333,6.861089521581904,0.3547872266408959,0.28441410693970415,0.4114217232083894,0.3684719174516567,0.15270361232760657,22.50162536902576,-0.07615969273309031,0.011986235625051085,1.495472575052855,204,-243.37438254665213,3442,263.88746912733257,4150,271,323,797,433,3024,-12.168719127332608,708,1.0842861371276342,-0.10924109460782111,0.35390416018560034,-0.16852346031720825,199.86328125,0.9710495023941766
21,PkC_ss,/media/npyx/4TB_ssd/optag_recordings/GoC/20-03-06_DK186/20-03-06_DK186_probe1,370,90.8131973499039,97.78375743346182,0.010466666666666668,0.008,0.0069,7.228010096954368,0.2809879291626164,0.24000000000000002,0.28059217693482286,0.2868333457002207,0.09141054742983834,12.936541732979734,-0.05991475634765162,0.0069159129825137776,0.7705910933595377,206,-278.5952721940176,3138,290.49012503430293,4150,458,238,856,387,2835,-13.92976360970088,1012,1.0426958172929857,-0.10702001215240663,0.28003499129111065,-0.29862615507940454,248.84765625,1.235311599641881
22,PkC_ss,/media/npyx/4TB_ssd/optag_recordings/GoC/20-03-06_DK186/20-03-06_DK186_probe1,409,97.19028749408868,106.19482671140145,0.009266666666666666,0.008,0.006566666666666667,6.907507721796025,0.2980321714115392,0.23387096774193541,0.3351944684366462,0.30632491313290133,0.1097978441305566,15.346177008085087,-0.06436621467524825,0.008439255489427987,1.4451890944312333,220,-272.7814343784302,4150,239.73398051591656,4757,213,203,712,327,3813,-13.639071718921512,607,0.8788500619999422,-0.10190292174644376,0.4589897960550134,-0.2287996778789302,336.15234375,2.9989487443031813
23,PkC_ss,/media/npyx/4TB_ssd/optag_recordings/GoC/20-03-06_DK186/20-03-06_DK186_probe1,783,83.08400526943093,91.56662638993525,0.0112,0.008,0.0071,7.1703165536513165,0.34981261266906855,0.3045871559633028,0.3292016485176354,0.36070561713527965,0.13836521059327409,17.809378904685566,-0.06990493651136996,0.010678910792787696,0.9686402347851607,230,-378.84776344676163,4150,347.0492376166301,4858,233,319,778,348,32,-18.94238817233808,708,0.9160651615286621,-0.10693302168410322,0.4240189174625951,-0.2452235582444393,284.4140625,1.2954736683731962
24,PkC_ss,/media/npyx/4TB_ssd/optag_recordings/GoC/20-03-06_DK186/20-03-06_DK186_probe1,826,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118,-94.74133421377607,3239,128.43563477634467,4150,365,305,873,493,2772,-4.737066710688803,911,1.355645197971776,-0.10481153319312699,0.2504010456500928,-0.07128826196621005,167.2265625,1.309411964555451
25,PkC_ss,/media/npyx/4TB_ssd/optag_recordings/GoC/20-03-06_DK186/20-03-06_DK186_probe1,1004,82.10745381770624,98.48660875671104,0.010333333333333333,0.008,0.0061,6.926717916238388,0.4552754172948034,0.39742212674543503,0.47219359809666317,0.48080600009335844,0.23461767415401952,29.150854012288505,-0.09492599959193977,0.019004907104854366,1.337292433495506,195,-125.04633044045003,3341,145.07677432080132,4150,293,344,853,435,2907,-6.252316522022502,809,1.160184179813979,-0.1089026976132771,0.31935041333522374,-0.19480423378463047,222.0703125,1.530566553335412
26,PkC_ss,/media/npyx/4TB_ssd/optag_recordings/GoC/20-03-06_DK186/20-03-06_DK186_probe1,1124,71.30040848049362,78.24090964920352,0.0132,0.012,0.008266666666666667,7.168260634609793,0.33965439938256725,0.2972067039106146,0.3175836559996411,0.34955724066912525,0.13033754843864573,14.590011337576483,-0.07079037649783128,0.01002043154559235,0.8886926159524965,218,-597.0040540957738,4150,260.49498696487376,5162,235,417,1054,550,1997,-29.85020270478869,1012,0.4363370485974692,-0.03214576353950412,0.17954392595937277,-0.10954260745320618,506.70000000000005,0.6657750662382405
27,PkC_cs,/media/npyx/4TB_ssd/optag_recordings/GoC/20-03-06_DK186/20-03-06_DK186_probe1,364,1.1741425109644912,12.375770282353173,0.7248666666666667,0.006,0.007743333333333333,6.473005282253749,0.979427280871752,0.8593666381738714,0.8086972954876622,1.4753098227575538,0.9877043888794503,5.043578989251732,-2.0117883870883175,0.15606542890768932,1.15843650302359,204,-74.87702387486279,3441,168.21718921514818,4150,296,3111,3903,2897,135,-3.7438511937431396,709,2.2465795314765566,-0.1268529029166308,0.21380038365057322,-0.033178935784747336,126.09375,1.9590760549256352
28,PkC_cs,/media/npyx/4TB_ssd/optag_recordings/GoC/20-03-06_DK186/20-03-06_DK186_probe1,369,0.7872366572268246,1.8986424952671972,1.0872166666666665,0.005,0.17741500000000004,6.928346047493366,0.796942922394126,0.718972849727527,0.6568948873886197,0.9853508619208206,0.6861899685399027,1.8398327161948922,-21.05751598195867,0.0759969814992526,0.8697148486280871,206,-228.6649715285401,3239,240.92026276070249,4150,442,253,872,350,1435,-11.433248576427005,911,1.0535949653776893,-0.12429211731470302,0.3082491737756149,-0.2017900146679886,204.4921875,1.4264727224252336
29,PkC_cs,/media/npyx/4TB_ssd/optag_recordings/GoC/20-03-06_DK186/20-03-06_DK186_probe1,402,1.6022079440701453,2.755476125707254,0.5387,0.07200000000000001,0.11765833333333334,7.153009236810132,0.78574890920133,0.7544764078548661,0.650621040538824,0.9170923264988944,0.6356272729547757,2.5679308859643006,-1.0436179990777552,0.061716885185737244,0.8550144806049356,218,-400.5696435922065,3239,441.6528668701975,4150,382,234,3245,359,1411,-20.028482179610325,911,1.1025619987315243,-0.12773859375684374,0.28619765938106145,-0.3330884804125219,687.12890625,0.284045625759935
30,PkC_cs,/media/npyx/4TB_ssd/optag_recordings/GoC/20-03-06_DK186/20-03-06_DK186_probe1,1031,2.661195642058881,255.3996296139709,0.0038666666666666667,0.001,0.0016333333333333334,4.483143134508004,1.5826576099142988,1.9800142755174874,1.4156816835001578,4.268559248047436,2.231009313103307,29.946995827810664,-0.8304623654379298,0.6835663168768241,1.4086142011296288,199,-195.0331237993963,3037,340.18650092618,4150,394,1075,851,713,233,-9.751656189969815,1113,1.744249870478837,-0.12202822281146834,0.12470679549631003,-0.06139617329905344,358.0078125,0.49613277490701707
31,PkC_cs,/media/npyx/4TB_ssd/optag_recordings/GoC/20-03-06_DK186/20-03-06_DK186_probe1,1109,2.554905283852999,114.91785127219894,0.19501666666666667,0.004,0.0028333333333333335,5.209821714732654,1.5285882661958643,1.9418070444104134,1.2105616620023594,3.46176243544682,2.077056123426375,24.116750324180174,-0.9225493045346023,0.5142725128088028,1.2168591563468258,222,-83.39556462678378,3442,146.53782330543356,4150,267,397,782,375,2945,-4.16977823133919,708,1.7571416892640195,-0.11374826301492325,0.27594102979330487,-0.13760580236206915,172.44140625,5.097717449687749
32,GoC,/media/npyx/4TB_ssd/optag_recordings/GoC/20-03-06_DK186/20-03-06_DK186_probe2,447,10.287118489363992,13.93887939406592,0.09016666666666667,0.05,0.030263333333333333,7.362401683081073,0.39100517243443933,0.33698220922497635,0.5025136414998866,0.4078736115676129,0.1757571088367092,3.7109536725822783,-0.2244034093788081,0.013967347728616495,0.5853598367005577,244,-41.69508095499451,2935,46.11128739023051,4150,536,300,927,442,2509,-2.0847540477497257,1215,1.1059167252847604,-0.12265008154496256,0.202903739160776,-0.17194542402253252,21.09375,0.5814121691782045
33,GoC,/media/npyx/4TB_ssd/optag_recordings/GoC/20-03-06_DK186/20-03-06_DK186_probe2,448,4.110054587009929,7.584573260847328,0.1977,0.055,0.0507,6.758807894775255,0.781325430338627,0.746125011226036,0.7652971065210278,0.910590761346952,0.6299310676447673,5.43398049807481,-0.46876642483264114,0.06098081312772899,1.2113101063871137,244,-39.467425048024154,2936,45.87819875137212,4150,502,328,954,429,2470,-1.9733712524012077,1214,1.162432023258353,-0.12331937584654472,0.198490285189965,-0.19219662662092316,27.83203125,0.5810680512987995
34,GoC,/media/npyx/4TB_ssd/optag_recordings/GoC/20-03-06_DK186/20-03-06_DK186_probe2,452,15.272501046824434,19.538644382241454,0.06316666666666666,0.058,0.0223,7.32473824796958,0.38525439752810486,0.32779244989902123,0.4441250075544068,0.4016875284080106,0.17199373205179322,5.060633722186557,-0.1750984269295734,0.013656880270397465,0.48917248582938205,248,-27.94626011937431,4150,27.303401138858398,5567,634,270,1146,484,172,-1.3973130059687155,1417,0.9769966006982724,-0.10791327765703014,0.21772952784587532,-0.18211108171948243,17.40234375,0.9160254128658445
